LAST SEEN   TYPE      REASON                     OBJECT                                                           MESSAGE
33m         Normal    Started                    pod/transition-executor-5948ff6545-xds75                         Started container controller
33m         Normal    Scheduled                  pod/transition-executor-5948ff6545-xds75                         Successfully assigned or-sim/transition-executor-5948ff6545-xds75 to or-sim-control-plane
33m         Normal    ScalingReplicaSet          deployment/transition-executor                                   Scaled up replica set transition-executor-5948ff6545 from 0 to 1
33m         Normal    Pulled                     pod/transition-executor-5948ff6545-xds75                         Successfully pulled image "localhost:10690/migrant-control-plane:go" in 23ms (23ms including waiting). Image size: 21903045 bytes.
33m         Normal    Created                    pod/transition-executor-5948ff6545-xds75                         Created container: controller
33m         Normal    SuccessfulCreate           replicaset/transition-executor-5948ff6545                        Created pod: transition-executor-5948ff6545-xds75
33m         Normal    SuccessfulDelete           replicaset/transition-executor-7bcf6cbd6c                        Deleted pod: transition-executor-7bcf6cbd6c-697jd
33m         Normal    Killing                    pod/transition-executor-7bcf6cbd6c-697jd                         Stopping container controller
33m         Normal    ScalingReplicaSet          deployment/transition-executor                                   Scaled down replica set transition-executor-7bcf6cbd6c from 1 to 0
32m         Normal    SuccessfulCreate           replicaset/planner-engine-85994dd8dc                             Created pod: planner-engine-85994dd8dc-fqzdt
32m         Normal    Scheduled                  pod/planner-engine-85994dd8dc-fqzdt                              Successfully assigned or-sim/planner-engine-85994dd8dc-fqzdt to or-sim-control-plane
32m         Normal    Pulling                    pod/planner-engine-85994dd8dc-fqzdt                              Pulling image "localhost:10690/migrant-planner-engine:go"
32m         Normal    ScalingReplicaSet          deployment/planner-engine                                        Scaled up replica set planner-engine-85994dd8dc from 0 to 1
32m         Normal    Created                    pod/planner-engine-85994dd8dc-fqzdt                              Created container: planner-engine
32m         Normal    Pulled                     pod/planner-engine-85994dd8dc-fqzdt                              Successfully pulled image "localhost:10690/migrant-planner-engine:go" in 2.05s (2.05s including waiting). Image size: 116522313 bytes.
32m         Normal    Started                    pod/planner-engine-85994dd8dc-fqzdt                              Started container planner-engine
31m         Normal    Scheduled                  pod/llama-runtime-fc6f5dd9-5pkwn                                 Successfully assigned or-sim/llama-runtime-fc6f5dd9-5pkwn to ampere
31m         Normal    SuccessfulCreate           replicaset/llama-runtime-fc6f5dd9                                Created pod: llama-runtime-fc6f5dd9-5pkwn
31m         Normal    ScalingReplicaSet          deployment/gpt2-runtime                                          Scaled up replica set gpt2-runtime-78cd7b4b56 from 0 to 1
31m         Normal    Scheduled                  pod/gpt2-runtime-78cd7b4b56-zd5tm                                Successfully assigned or-sim/gpt2-runtime-78cd7b4b56-zd5tm to ampere
31m         Normal    SuccessfulCreate           replicaset/gpt2-runtime-78cd7b4b56                               Created pod: gpt2-runtime-78cd7b4b56-zd5tm
31m         Normal    ScalingReplicaSet          deployment/llama-runtime                                         Scaled up replica set llama-runtime-fc6f5dd9 from 0 to 1
31m         Normal    Pulled                     pod/gpt2-runtime-78cd7b4b56-zd5tm                                Container image "localhost:10690/migrant-model-runtime:go" already present on machine
31m         Normal    Created                    pod/gpt2-runtime-78cd7b4b56-zd5tm                                Created container: runtime
31m         Normal    Started                    pod/gpt2-runtime-78cd7b4b56-zd5tm                                Started container runtime
30m         Normal    Created                    pod/llama-runtime-fc6f5dd9-5pkwn                                 Created container: runtime
30m         Normal    Pulled                     pod/llama-runtime-fc6f5dd9-5pkwn                                 Container image "localhost:10690/migrant-model-runtime:go" already present on machine
30m         Normal    Started                    pod/llama-runtime-fc6f5dd9-5pkwn                                 Started container runtime
29m         Normal    SuccessfulCreate           job/migrant-go-planner-engine-build-or-sim-control-plane         Created pod: migrant-go-planner-engine-build-or-sim-control-plane-lp9rg
29m         Normal    Scheduled                  pod/migrant-go-planner-engine-build-or-sim-control-plane-lp9rg   Successfully assigned or-sim/migrant-go-planner-engine-build-or-sim-control-plane-lp9rg to or-sim-control-plane
29m         Normal    Pulled                     pod/migrant-go-planner-engine-build-or-sim-control-plane-lp9rg   Container image "gcr.io/kaniko-project/executor:debug" already present on machine
29m         Normal    Created                    pod/migrant-go-planner-engine-build-or-sim-control-plane-lp9rg   Created container: kaniko
29m         Normal    Started                    pod/migrant-go-planner-engine-build-or-sim-control-plane-lp9rg   Started container kaniko
29m         Normal    Killing                    pod/planner-engine-85994dd8dc-fqzdt                              Stopping container planner-engine
29m         Normal    ScalingReplicaSet          deployment/planner-engine                                        Scaled down replica set planner-engine-85994dd8dc from 1 to 0
29m         Normal    Completed                  job/migrant-go-planner-engine-build-or-sim-control-plane         Job completed
29m         Normal    SuccessfulDelete           replicaset/planner-engine-85994dd8dc                             Deleted pod: planner-engine-85994dd8dc-fqzdt
28m         Normal    SuccessfulCreate           replicaset/planner-engine-5c6d799b5c                             Created pod: planner-engine-5c6d799b5c-fg5jj
28m         Normal    Scheduled                  pod/planner-engine-5c6d799b5c-fg5jj                              Successfully assigned or-sim/planner-engine-5c6d799b5c-fg5jj to or-sim-control-plane
28m         Normal    ScalingReplicaSet          deployment/planner-engine                                        Scaled up replica set planner-engine-5c6d799b5c from 0 to 1
28m         Normal    Pulling                    pod/planner-engine-5c6d799b5c-fg5jj                              Pulling image "localhost:10690/migrant-planner-engine:go"
28m         Warning   Unhealthy                  pod/planner-engine-85994dd8dc-fqzdt                              Readiness probe failed: Get "http://10.42.0.96:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
28m         Normal    Pulled                     pod/planner-engine-5c6d799b5c-fg5jj                              Successfully pulled image "localhost:10690/migrant-planner-engine:go" in 2.1s (2.1s including waiting). Image size: 116520176 bytes.
28m         Normal    Created                    pod/planner-engine-5c6d799b5c-fg5jj                              Created container: planner-engine
28m         Normal    Started                    pod/planner-engine-5c6d799b5c-fg5jj                              Started container planner-engine
28m         Normal    Killing                    pod/gpt2-runtime-78cd7b4b56-zd5tm                                Stopping container runtime
28m         Normal    Killing                    pod/llama-runtime-fc6f5dd9-5pkwn                                 Stopping container runtime
