LAST SEEN   TYPE      REASON                     OBJECT                                                           MESSAGE
6m47s       Warning   UnexpectedAdmissionError   pod/llama-runtime-fc6f5dd9-xsr8w                                 Allocate failed due to endpoint &{{0 0} or-sim.io/ampere-gpu0-s4-8-3g 0xc0582a4028 {14014679610306745379 109705372795419 0x4ffd6e0} <nil>} has been stopped, which is unexpected
6m47s       Warning   UnexpectedAdmissionError   pod/llama-runtime-fc6f5dd9-z84rk                                 Allocate failed due to endpoint &{{0 0} or-sim.io/ampere-gpu0-s4-8-3g 0xc0582a4028 {14014679610306745379 109705372795419 0x4ffd6e0} <nil>} has been stopped, which is unexpected
6m47s       Normal    Created                    pod/gpt2-runtime-78cd7b4b56-4wcx4                                Created container: runtime
6m47s       Warning   UnexpectedAdmissionError   pod/llama-runtime-fc6f5dd9-cnhcv                                 Allocate failed due to endpoint &{{0 0} or-sim.io/ampere-gpu0-s4-8-3g 0xc0582a4028 {14014679610306745379 109705372795419 0x4ffd6e0} <nil>} has been stopped, which is unexpected
6m47s       Warning   UnexpectedAdmissionError   pod/llama-runtime-fc6f5dd9-h4kpz                                 Allocate failed due to endpoint &{{0 0} or-sim.io/ampere-gpu0-s4-8-3g 0xc0582a4028 {14014679610306745379 109705372795419 0x4ffd6e0} <nil>} has been stopped, which is unexpected
6m47s       Normal    Scheduled                  pod/llama-runtime-fc6f5dd9-mjpkf                                 Successfully assigned or-sim/llama-runtime-fc6f5dd9-mjpkf to ampere
6m47s       Normal    Scheduled                  pod/llama-runtime-fc6f5dd9-62mzh                                 Successfully assigned or-sim/llama-runtime-fc6f5dd9-62mzh to ampere
6m47s       Warning   UnexpectedAdmissionError   pod/llama-runtime-fc6f5dd9-l9jh8                                 Allocate failed due to endpoint &{{0 0} or-sim.io/ampere-gpu0-s4-8-3g 0xc0582a4028 {14014679610306745379 109705372795419 0x4ffd6e0} <nil>} has been stopped, which is unexpected
6m47s       Normal    Scheduled                  pod/llama-runtime-fc6f5dd9-l9jh8                                 Successfully assigned or-sim/llama-runtime-fc6f5dd9-l9jh8 to ampere
6m47s       Normal    Scheduled                  pod/llama-runtime-fc6f5dd9-7ngzj                                 Successfully assigned or-sim/llama-runtime-fc6f5dd9-7ngzj to ampere
6m47s       Normal    Scheduled                  pod/llama-runtime-fc6f5dd9-wmpwh                                 Successfully assigned or-sim/llama-runtime-fc6f5dd9-wmpwh to ampere
6m47s       Warning   UnexpectedAdmissionError   pod/llama-runtime-fc6f5dd9-mjpkf                                 Allocate failed due to endpoint &{{0 0} or-sim.io/ampere-gpu0-s4-8-3g 0xc0582a4028 {14014679610306745379 109705372795419 0x4ffd6e0} <nil>} has been stopped, which is unexpected
6m47s       Normal    Scheduled                  pod/llama-runtime-fc6f5dd9-kp949                                 Successfully assigned or-sim/llama-runtime-fc6f5dd9-kp949 to ampere
6m47s       Warning   UnexpectedAdmissionError   pod/llama-runtime-fc6f5dd9-tbgzz                                 Allocate failed due to endpoint &{{0 0} or-sim.io/ampere-gpu0-s4-8-3g 0xc0582a4028 {14014679610306745379 109705372795419 0x4ffd6e0} <nil>} has been stopped, which is unexpected
6m47s       Normal    Scheduled                  pod/llama-runtime-fc6f5dd9-tbgzz                                 Successfully assigned or-sim/llama-runtime-fc6f5dd9-tbgzz to ampere
6m47s       Warning   UnexpectedAdmissionError   pod/llama-runtime-fc6f5dd9-7ngzj                                 Allocate failed due to endpoint &{{0 0} or-sim.io/ampere-gpu0-s4-8-3g 0xc0582a4028 {14014679610306745379 109705372795419 0x4ffd6e0} <nil>} has been stopped, which is unexpected
6m47s       Normal    SuccessfulCreate           replicaset/llama-runtime-fc6f5dd9                                (combined from similar events): Created pod: llama-runtime-fc6f5dd9-kp949
6m47s       Normal    Started                    pod/gpt2-runtime-78cd7b4b56-4wcx4                                Started container runtime
6m47s       Normal    Scheduled                  pod/llama-runtime-fc6f5dd9-h4kpz                                 Successfully assigned or-sim/llama-runtime-fc6f5dd9-h4kpz to ampere
6m47s       Normal    Pulled                     pod/gpt2-runtime-78cd7b4b56-4wcx4                                Container image "localhost:10690/migrant-model-runtime:go" already present on machine
6m13s       Normal    Created                    pod/llama-runtime-fc6f5dd9-kp949                                 Created container: runtime
6m13s       Normal    Pulled                     pod/llama-runtime-fc6f5dd9-kp949                                 Container image "localhost:10690/migrant-model-runtime:go" already present on machine
6m12s       Normal    Started                    pod/llama-runtime-fc6f5dd9-kp949                                 Started container runtime
4m24s       Normal    SuccessfulCreate           job/migrant-go-control-plane-build-or-sim-control-plane          Created pod: migrant-go-control-plane-build-or-sim-control-plane-j7g55
4m24s       Normal    Scheduled                  pod/migrant-go-control-plane-build-or-sim-control-plane-j7g55    Successfully assigned or-sim/migrant-go-control-plane-build-or-sim-control-plane-j7g55 to or-sim-control-plane
4m24s       Normal    Pulled                     pod/migrant-go-control-plane-build-or-sim-control-plane-j7g55    Container image "gcr.io/kaniko-project/executor:debug" already present on machine
4m24s       Normal    Started                    pod/migrant-go-control-plane-build-or-sim-control-plane-j7g55    Started container kaniko
4m24s       Normal    Created                    pod/migrant-go-control-plane-build-or-sim-control-plane-j7g55    Created container: kaniko
3m17s       Normal    Completed                  job/migrant-go-control-plane-build-or-sim-control-plane          Job completed
3m17s       Normal    Scheduled                  pod/transition-executor-6db7c6897-4fbfd                          Successfully assigned or-sim/transition-executor-6db7c6897-4fbfd to or-sim-control-plane
3m17s       Normal    SuccessfulCreate           replicaset/transition-executor-6db7c6897                         Created pod: transition-executor-6db7c6897-4fbfd
3m17s       Normal    ScalingReplicaSet          deployment/transition-executor                                   Scaled up replica set transition-executor-6db7c6897 from 0 to 1
3m16s       Normal    Pulled                     pod/transition-executor-6db7c6897-4fbfd                          Successfully pulled image "localhost:10690/migrant-control-plane:go" in 250ms (250ms including waiting). Image size: 21911427 bytes.
3m16s       Normal    ScalingReplicaSet          deployment/transition-executor                                   Scaled down replica set transition-executor-7c5cb78949 from 1 to 0
3m16s       Normal    SuccessfulDelete           replicaset/transition-executor-7c5cb78949                        Deleted pod: transition-executor-7c5cb78949-2dcdq
3m16s       Normal    Pulling                    pod/transition-executor-6db7c6897-4fbfd                          Pulling image "localhost:10690/migrant-control-plane:go"
3m16s       Normal    Killing                    pod/transition-executor-7c5cb78949-2dcdq                         Stopping container controller
3m16s       Normal    Started                    pod/transition-executor-6db7c6897-4fbfd                          Started container controller
3m16s       Normal    Created                    pod/transition-executor-6db7c6897-4fbfd                          Created container: controller
2m24s       Normal    Killing                    pod/llama-runtime-fc6f5dd9-kp949                                 Stopping container runtime
2m24s       Warning   Unhealthy                  pod/gpt2-runtime-78cd7b4b56-4wcx4                                Readiness probe failed: Get "http://115.145.135.205:10682/healthz": dial tcp 115.145.135.205:10682: connect: connection refused
2m24s       Normal    Killing                    pod/gpt2-runtime-78cd7b4b56-4wcx4                                Stopping container runtime
2m24s       Warning   Unhealthy                  pod/llama-runtime-fc6f5dd9-kp949                                 Readiness probe failed: Get "http://115.145.135.205:10681/healthz": dial tcp 115.145.135.205:10681: connect: connection refused
99s         Normal    Scheduled                  pod/llama-runtime-fc6f5dd9-cv2l5                                 Successfully assigned or-sim/llama-runtime-fc6f5dd9-cv2l5 to ampere
99s         Normal    ScalingReplicaSet          deployment/llama-runtime                                         Scaled up replica set llama-runtime-fc6f5dd9 from 0 to 1
99s         Normal    SuccessfulCreate           replicaset/llama-runtime-fc6f5dd9                                Created pod: llama-runtime-fc6f5dd9-cv2l5
99s         Normal    Scheduled                  pod/gpt2-runtime-78cd7b4b56-hfs2z                                Successfully assigned or-sim/gpt2-runtime-78cd7b4b56-hfs2z to ampere
99s         Normal    ScalingReplicaSet          deployment/gpt2-runtime                                          Scaled up replica set gpt2-runtime-78cd7b4b56 from 0 to 1
99s         Normal    SuccessfulCreate           replicaset/gpt2-runtime-78cd7b4b56                               Created pod: gpt2-runtime-78cd7b4b56-hfs2z
64s         Normal    Pulled                     pod/gpt2-runtime-78cd7b4b56-hfs2z                                Container image "localhost:10690/migrant-model-runtime:go" already present on machine
64s         Normal    Created                    pod/gpt2-runtime-78cd7b4b56-hfs2z                                Created container: runtime
64s         Normal    Started                    pod/gpt2-runtime-78cd7b4b56-hfs2z                                Started container runtime
30s         Normal    Created                    pod/llama-runtime-fc6f5dd9-cv2l5                                 Created container: runtime
30s         Normal    Pulled                     pod/llama-runtime-fc6f5dd9-cv2l5                                 Container image "localhost:10690/migrant-model-runtime:go" already present on machine
30s         Normal    Started                    pod/llama-runtime-fc6f5dd9-cv2l5                                 Started container runtime
