mig_uuid,mig_name,mig_profile,node,gpu_index,model,batch,input_hw,dtype,engine,status,error,sample_count,time_ms_mean,time_ms_p50,time_ms_p95,time_ms_p99,throughput_rps,peak_alloc_mb,peak_reserved_mb,free_mb_before,free_mb_after,source_run_id
MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,NVIDIA A100-PCIE-40GB MIG 4g.20gb,4g,ampere,0,resnet50,4,224x224,fp16,torchvision,ok,,50,40.635054,40.526848,41.955776,47.249119,98.437177,0.0,0.0,,,vision-20260703-ampere-gpu0
MIG-457656ac-5439-5b56-8fcc-1ff4336bacf5,NVIDIA A100-PCIE-40GB MIG 7g.40gb,7g,ampere,0,resnet50,4,224x224,fp16,torchvision,ok,,50,40.141089,40.085537,42.179649,46.191616,99.648516,0.0,0.0,,,vision-20260703-ampere-gpu0
MIG-183fa215-464e-5359-9394-6bca2fef6406,NVIDIA A100-PCIE-40GB MIG 1g.5gb,1g,ampere,1,resnet50,4,224x224,fp16,torchvision,ok,,50,40.105055,40.633793,42.482433,46.079296,99.73805,0.0,0.0,,,vision-20260703-ampere-gpu1
MIG-cd5ccd12-9bd8-5d9f-9c97-3f4e20a97fa0,NVIDIA A100-PCIE-40GB MIG 2g.10gb,2g,ampere,1,resnet50,4,224x224,fp16,torchvision,ok,,50,39.622873,40.200607,41.893536,42.655422,100.95179,0.0,0.0,,,vision-20260703-ampere-gpu1
MIG-b43d42d1-022f-5770-a25d-c0bea366ae4e,NVIDIA A100-PCIE-40GB MIG 3g.20gb,3g,ampere,1,resnet50,4,224x224,fp16,torchvision,ok,,50,39.846296,39.953728,41.734623,42.280254,100.385742,0.0,0.0,,,vision-20260703-ampere-gpu1
MIG-b43d42d1-022f-5770-a25d-c0bea366ae4e,NVIDIA A100-PCIE-40GB MIG 4g.20gb,4g,ampere,1,resnet50,4,224x224,fp16,torchvision,ok,,50,39.454491,39.712002,40.881535,41.588417,101.382629,0.0,0.0,,,vision-20260703-ampere-gpu1
MIG-e6a72acc-723d-5ebf-bf4f-196a4352174f,NVIDIA A100-PCIE-40GB MIG 7g.40gb,7g,ampere,1,resnet50,4,224x224,fp16,torchvision,ok,,50,39.805338,40.091583,42.427681,45.532738,100.489034,0.0,0.0,,,vision-20260703-ampere-gpu1
MIG-4bc33233-28f9-566c-9f82-89bd8db02cf6,NVIDIA A100-PCIE-40GB MIG 1g.5gb,1g,rtx1-worker,0,resnet50,4,224x224,fp16,torchvision,ok,,50,23.449167,23.012224,24.962879,26.532225,170.58175,0.0,0.0,,,vision-20260703-rtx1-gpu0
MIG-7076f62a-e0b2-533b-99af-74c7b443d5ba,NVIDIA A100-PCIE-40GB MIG 2g.10gb,2g,rtx1-worker,0,resnet50,4,224x224,fp16,torchvision,ok,,50,22.888564,22.468767,25.896448,27.149088,174.759758,0.0,0.0,,,vision-20260703-rtx1-gpu0
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 3g.20gb,3g,rtx1-worker,0,resnet50,4,224x224,fp16,torchvision,ok,,50,23.031434,22.476225,26.289791,30.042751,173.675685,0.0,0.0,,,vision-20260703-rtx1-gpu0
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,4g,rtx1-worker,0,resnet50,4,224x224,fp16,torchvision,ok,,50,22.501163,22.1992,23.926657,31.292032,177.76859,0.0,0.0,,,vision-20260703-rtx1-gpu0
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,7g,rtx1-worker,0,resnet50,4,224x224,fp16,torchvision,ok,,50,22.068779,21.860416,22.85936,28.249281,181.251528,0.0,0.0,,,vision-20260703-rtx1-gpu0
MIG-a9aaa9b9-3415-5b83-baab-d52b391db3ac,NVIDIA A100-PCIE-40GB MIG 1g.5gb,1g,ampere,0,resnet50,16,224x224,fp16,torchvision,ok,,50,49.656209,49.785889,51.102657,55.661919,322.215497,0.0,0.0,,,vision-20260703-ampere-gpu0
