mig_uuid,mig_name,model,batch,image_size,patch_size,num_tokens,dtype,engine,time_ms_mean,time_ms_p50,time_ms_p90,peak_alloc_mb,peak_reserved_mb,free_mb_before,free_mb_after
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,vit-base-patch16-224,1,384,16,577,bf16,hf,8.7306,8.6322,8.6464,200.11,210.00,9448.94,9448.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,vit-base-patch16-224,2,224,16,197,bf16,hf,7.1408,7.1249,7.2857,192.48,210.00,9448.94,9446.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,vit-base-patch16-224,2,256,16,257,bf16,hf,6.9744,6.9189,7.1078,198.08,210.00,9446.94,9446.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,vit-base-patch16-224,2,384,16,577,bf16,hf,11.6593,11.6093,11.6435,218.71,250.00,9446.94,9406.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,vit-base-patch16-224,4,224,16,197,bf16,hf,6.8562,6.7756,7.0328,203.44,250.00,9406.94,9406.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,vit-base-patch16-224,4,256,16,257,bf16,hf,9.3405,9.3374,9.3487,215.08,250.00,9406.94,9406.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,vit-base-patch16-224,4,384,16,577,bf16,hf,18.7556,18.7533,18.7983,256.84,292.00,9406.94,9364.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,vit-base-patch16-224,8,224,16,197,bf16,hf,9.5172,9.5170,9.5280,225.70,292.00,9364.94,9364.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,vit-base-patch16-224,8,256,16,257,bf16,hf,15.3029,15.2967,15.3127,247.75,292.00,9364.94,9364.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,vit-base-patch16-224,8,384,16,577,bf16,hf,31.7525,31.7480,31.7679,334.08,376.00,9364.94,9280.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,vit-base-patch16-224,16,224,16,197,bf16,hf,19.1981,19.1939,19.2231,269.87,376.00,9280.94,9280.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,vit-base-patch16-224,16,256,16,257,bf16,hf,27.9109,27.9047,27.9220,313.97,376.00,9280.94,9280.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,vit-base-patch16-224,16,384,16,577,bf16,hf,58.1390,58.1510,58.2022,483.81,626.00,9280.94,9030.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,vit-base-patch16-224,32,224,16,197,bf16,hf,37.3167,37.2878,37.3828,357.43,626.00,9030.94,9030.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,vit-base-patch16-224,32,256,16,257,bf16,hf,50.2657,50.2851,50.3159,446.42,626.00,9030.94,9030.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,vit-base-patch16-224,32,384,16,577,bf16,hf,109.9722,110.0226,110.1695,778.37,1060.00,9030.94,8596.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,vit-base-patch16-224,64,224,16,197,bf16,hf,71.9620,71.9053,72.0827,532.74,1060.00,8596.94,8596.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,vit-base-patch16-224,64,256,16,257,bf16,hf,95.7377,95.7249,95.8244,711.31,1060.00,8596.94,8596.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,vit-base-patch16-224,64,384,16,577,bf16,hf,212.8013,212.8080,212.8481,1371.31,2026.00,8596.94,7630.94
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,vit-base-patch16-224,1,224,16,197,bf16,hf,5.3653,5.3507,5.4542,187.00,208.00,19565.88,19489.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,vit-base-patch16-224,1,256,16,257,bf16,hf,6.6431,6.6646,6.8008,189.80,210.00,19489.88,19485.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,vit-base-patch16-224,1,384,16,577,bf16,hf,7.2448,7.0611,7.0701,200.11,210.00,19485.88,19485.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,vit-base-patch16-224,2,224,16,197,bf16,hf,6.7615,6.7507,6.9295,192.48,210.00,19485.88,19485.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,vit-base-patch16-224,2,256,16,257,bf16,hf,6.8434,6.8067,6.9964,198.08,210.00,19485.88,19485.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,vit-base-patch16-224,2,384,16,577,bf16,hf,9.1915,9.1381,9.1588,218.71,250.00,19485.88,19445.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,vit-base-patch16-224,4,224,16,197,bf16,hf,7.0048,6.8953,7.0912,203.44,250.00,19445.88,19445.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,vit-base-patch16-224,4,256,16,257,bf16,hf,7.6436,7.6383,7.6656,215.08,250.00,19445.88,19445.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,vit-base-patch16-224,4,384,16,577,bf16,hf,12.7116,12.7109,12.7276,256.84,292.00,19445.88,19403.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,vit-base-patch16-224,8,224,16,197,bf16,hf,6.8670,6.7868,7.0920,225.70,292.00,19403.88,19403.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,vit-base-patch16-224,8,256,16,257,bf16,hf,10.9471,10.9434,10.9652,247.75,292.00,19403.88,19403.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,vit-base-patch16-224,8,384,16,577,bf16,hf,21.5597,21.5537,21.5806,334.08,376.00,19403.88,19319.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,vit-base-patch16-224,16,224,16,197,bf16,hf,11.2742,11.2733,11.2942,269.87,376.00,19319.88,19319.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,vit-base-patch16-224,16,256,16,257,bf16,hf,18.7105,18.7057,18.7178,313.97,376.00,19319.88,19319.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,vit-base-patch16-224,16,384,16,577,bf16,hf,38.1017,38.0930,38.1209,483.81,626.00,19319.88,19069.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,vit-base-patch16-224,32,224,16,197,bf16,hf,23.5850,23.5850,23.5947,357.43,626.00,19069.88,19069.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,vit-base-patch16-224,32,256,16,257,bf16,hf,32.5278,32.5234,32.5377,446.42,626.00,19069.88,19069.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,vit-base-patch16-224,32,384,16,577,bf16,hf,68.9669,68.9638,68.9863,778.37,1060.00,19069.88,18635.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,vit-base-patch16-224,64,224,16,197,bf16,hf,44.1689,44.1635,44.1910,532.74,1060.00,18635.88,18635.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,vit-base-patch16-224,64,256,16,257,bf16,hf,60.0957,60.0958,60.1104,711.31,1060.00,18635.88,18635.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,vit-base-patch16-224,64,384,16,577,bf16,hf,132.2735,132.2662,132.3121,1371.31,2026.00,18635.88,17669.88
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,vit-base-patch16-224,1,224,16,197,bf16,hf,6.9215,6.9210,7.0427,187.00,208.00,19502.94,19418.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,vit-base-patch16-224,1,256,16,257,bf16,hf,6.7069,6.6856,6.7674,189.80,210.00,19418.94,19414.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,vit-base-patch16-224,1,384,16,577,bf16,hf,7.0034,6.8332,7.0620,200.11,210.00,19414.94,19414.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,vit-base-patch16-224,2,224,16,197,bf16,hf,6.7937,6.7775,6.9487,192.48,210.00,19414.94,19414.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,vit-base-patch16-224,2,256,16,257,bf16,hf,6.8087,6.8026,6.9424,198.08,210.00,19414.94,19414.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,vit-base-patch16-224,2,384,16,577,bf16,hf,8.9870,8.9534,8.9820,218.71,250.00,19414.94,19374.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,vit-base-patch16-224,4,224,16,197,bf16,hf,7.0501,6.9042,7.5939,203.44,250.00,19374.94,19374.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,vit-base-patch16-224,4,256,16,257,bf16,hf,6.8274,6.8187,6.9940,215.08,250.00,19374.94,19374.94
