mig_uuid,mig_name,model,batch,input_hw,time_ms_mean,time_ms_p50,time_ms_p90,peak_alloc_mb,peak_reserved_mb,free_mb_before,free_mb_after
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,densenet121,32,224x224,105.4303,105.4351,105.4577,366.03,512,4442,4234
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,densenet121,64,224x224,209.6656,209.664,209.7091,691.77,904,4234,3842
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,densenet121,128,224x224,411.6495,411.647,411.7176,1341.27,1688,3842,3058
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,inception_v3,4,299x299,17.4806,17.4807,17.4899,160.12,204,4626,4542
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,inception_v3,8,299x299,28.2792,28.2798,28.3136,216.08,314,4542,4432
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,inception_v3,16,299x299,54.9928,54.9919,55.0062,328.91,530,4432,4216
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,inception_v3,32,299x299,107.4028,107.4012,107.4371,556.37,1046,4216,3698
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,inception_v3,64,299x299,212.3407,212.3305,212.394,1012,2070,3698,2674
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,inception_v3,128,299x299,411.306,411.2937,411.3889,1922.9,4118,2674,626
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,convnext_base,4,224x224,25.625,25.6205,25.642,411.03,446,4374,4298
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,convnext_base,8,224x224,47.701,47.6959,47.7225,476.59,546,4298,4198
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,convnext_base,16,224x224,94.2456,94.2397,94.2858,601.71,742,4198,4002
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,convnext_base,32,224x224,178.211,178.217,178.263,856.96,1134,4002,3610
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,convnext_base,64,224x224,351.5419,351.5402,351.6488,1364.46,1918,3610,2826
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,convnext_base,128,224x224,711.1657,711.166,711.3175,2381.45,3486,2826,1258
