mig_uuid,mig_name,model,batch,input_hw,time_ms_mean,time_ms_p50,time_ms_p90,peak_alloc_mb,peak_reserved_mb,free_mb_before,free_mb_after
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,convnext_base,16,224x224,15.3796,15.2812,15.5515,601.71,742,39222.5,39026.5
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,convnext_base,32,224x224,27.3115,27.2466,27.5098,856.96,1134,39026.5,38634.5
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,convnext_base,64,224x224,54.9409,54.914,55.2274,1364.46,1918,38634.5,37850.5
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,convnext_base,128,224x224,106.8766,106.9292,107.2323,2381.45,3486,37850.5,36282.5
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,vgg16,4,224x224,5.0861,5.0852,5.0954,690.48,706,19128.94,18926.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,vgg16,8,224x224,9.0852,9.087,9.0931,836.93,1002,18926.94,18630.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,vgg16,16,224x224,16.6639,16.6584,16.6697,1135.95,1592,18630.94,18040.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,vgg16,32,224x224,32.1196,32.1147,32.13,1732.81,2770,18040.94,16862.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,vgg16,64,224x224,62.8718,62.8644,62.8931,2927.3,5126,16862.94,14506.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,vgg16,128,224x224,124.4017,124.3945,124.4314,5316.3,9832,14506.94,9800.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,resnet50,4,224x224,4.0269,4.0407,4.1236,150.35,166,19512.94,19466.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,resnet50,8,224x224,5.9889,5.9873,5.9976,192.48,244,19466.94,19388.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,resnet50,16,224x224,11.1958,11.1954,11.2036,279.73,394,19388.94,19238.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,resnet50,32,224x224,21.4606,21.46,21.4764,445.23,788,19238.94,18844.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,resnet50,64,224x224,41.5114,41.5078,41.5283,783.22,1574,18844.94,18058.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,resnet50,128,224x224,81.1595,81.1551,81.1848,1456.22,3144,18058.94,16488.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,densenet121,4,224x224,10.5187,10.5431,10.8882,82.09,102,19586.94,19530.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,densenet121,8,224x224,10,10.0065,10.1919,122.16,160,19530.94,19472.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,densenet121,16,224x224,14.347,14.3432,14.3596,202.65,304,19472.94,19328.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,densenet121,32,224x224,27.4038,27.4033,27.4237,366.03,512,19328.94,19120.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,densenet121,64,224x224,53.1646,53.1661,53.1866,691.77,904,19120.94,18728.94
