run_id,timestamp,node,gpu_index,mig_profile,mig_uuid,device_resource,slot_resource,workload,model,model_id,family,batch,prompt_len,output_tokens,status,error,sample_count,latency_ms_mean,latency_ms_p50,latency_ms_p95,latency_ms_p99,throughput_rps,ttft_ms_mean,tpot_ms_mean,decode_tps,service_time_ms,peak_alloc_mb,peak_reserved_mb
smoke-rtx1-a100-20260622b,2026-06-22T13:39:32.752464+00:00,rtx1-worker,0,7g,,,or-sim.io/rtx1-worker-gpu0-s0-8-7g,resnet50,resnet50,,vision,4,,,error,"apply-slots failed for 7g: /host/usr/bin/nvidia-smi mig -cgi 0:0 -C -i 0 failed: exit status 23
Unable to create a GPU instance on GPU  0 using profile 0:0: Insufficient Resources
Failed to create GPU instances: Insufficient Resources
",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smoke-rtx1-a100-20260622b,2026-06-22T13:41:32.887304+00:00,rtx1-worker,0,7g,MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,or-sim.io/mig-a28fecf6-35ba-56a6-aab8-2be643b31249,or-sim.io/rtx1-worker-gpu0-s0-8-7g,vgg16,vgg16,,vision,4,,,ok,,3,221.173453,230.097976,236.493709,236.493709,18.085353,0.0,0.0,0.0,0.0,0.0,0.0
smoke-rtx1-a100-20260622b,2026-06-22T13:47:48.806641+00:00,rtx1-worker,0,7g,MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,or-sim.io/mig-a28fecf6-35ba-56a6-aab8-2be643b31249,or-sim.io/rtx1-worker-gpu0-s0-8-7g,vit_base,vit_base,,vision,4,,,ok,,3,110.775241,23.863041,285.441528,285.441528,36.109152,0.0,0.0,0.0,0.0,0.0,0.0
smoke-rtx1-a100-20260622b,2026-06-22T13:47:49.808637+00:00,rtx1-worker,0,7g,,,or-sim.io/rtx1-worker-gpu0-s0-8-7g,gpt2_p64_o64,gpt2-medium,gpt2-medium,llm,1,64,64,error,"apply-slots failed for 7g: invalid create spec: slot ""0:7:7g"" size does not match profile 7g",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smoke-rtx1-a100-20260622b,2026-06-22T13:47:50.297095+00:00,rtx1-worker,0,7g,,,or-sim.io/rtx1-worker-gpu0-s0-8-7g,llama32_3b_p64_o64,llama32_3b,meta-llama/Llama-3.2-3B,llm,1,64,64,error,"apply-slots failed for 7g: invalid create spec: slot ""0:7:7g"" size does not match profile 7g",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
