NAME                                    READY   STATUS                     RESTARTS   AGE     IP                NODE                   NOMINATED NODE   READINESS GATES
llama-runtime-f999ddfcb-gkgd9           0/1     UnexpectedAdmissionError   0          3m44s   <none>            ampere                 <none>           <none>
llama-runtime-f999ddfcb-m9phm           0/1     UnexpectedAdmissionError   0          3m44s   <none>            ampere                 <none>           <none>
llama-runtime-f999ddfcb-mppnz           0/1     UnexpectedAdmissionError   0          3m44s   <none>            ampere                 <none>           <none>
llama-runtime-f999ddfcb-vcdnr           0/1     UnexpectedAdmissionError   0          3m42s   <none>            ampere                 <none>           <none>
mig-node-agent-n2mrc                    1/1     Running                    0          14m     115.145.179.130   rtx1-worker            <none>           <none>
mig-node-agent-pldvt                    1/1     Running                    0          5m43s   115.145.135.205   ampere                 <none>           <none>
migrant-go-image-build-ampere-zpjhz     0/1     Completed                  0          10m     115.145.135.205   ampere                 <none>           <none>
migrant-local-registry-d8tg8            1/1     Running                    0          20h     115.145.179.130   rtx1-worker            <none>           <none>
migrant-local-registry-snxjl            1/1     Running                    0          20h     115.145.179.144   or-sim-control-plane   <none>           <none>
migrant-local-registry-xsstz            1/1     Running                    0          20h     115.145.135.205   ampere                 <none>           <none>
planner-controller-7d5666d55f-w5m94     1/1     Running                    0          51m     10.42.0.68        or-sim-control-plane   <none>           <none>
runtime-router-67ff7d4fff-ckrgr         1/1     Running                    0          19h     115.145.179.144   or-sim-control-plane   <none>           <none>
slot-device-plugin-94bkd                1/1     Running                    0          14m     10.42.1.231       rtx1-worker            <none>           <none>
slot-device-plugin-mbwl9                1/1     Running                    0          5m43s   10.42.2.69        ampere                 <none>           <none>
transition-executor-557f9f597b-2bmsb    1/1     Running                    0          24m     10.42.0.73        or-sim-control-plane   <none>           <none>
