LAST SEEN   TYPE     REASON              OBJECT                                                          MESSAGE
11m         Normal   Pulled              pod/slot-device-plugin-dczzd                                    Successfully pulled image "localhost:10690/migrant-node-agent:go" in 217ms (217ms including waiting). Image size: 137571518 bytes.
7m39s       Normal   Pulled              pod/migrant-go-control-plane-build-or-sim-control-plane-7z5xd   Container image "gcr.io/kaniko-project/executor:debug" already present on machine
7m39s       Normal   Scheduled           pod/migrant-go-control-plane-build-or-sim-control-plane-7z5xd   Successfully assigned or-sim/migrant-go-control-plane-build-or-sim-control-plane-7z5xd to or-sim-control-plane
7m39s       Normal   SuccessfulCreate    job/migrant-go-control-plane-build-or-sim-control-plane         Created pod: migrant-go-control-plane-build-or-sim-control-plane-7z5xd
7m39s       Normal   Started             pod/migrant-go-control-plane-build-or-sim-control-plane-7z5xd   Started container kaniko
7m39s       Normal   Created             pod/migrant-go-control-plane-build-or-sim-control-plane-7z5xd   Created container: kaniko
6m31s       Normal   Completed           job/migrant-go-control-plane-build-or-sim-control-plane         Job completed
6m22s       Normal   SuccessfulCreate    replicaset/transition-executor-64d9d48cd9                       Created pod: transition-executor-64d9d48cd9-rq8wb
6m22s       Normal   Scheduled           pod/transition-executor-64d9d48cd9-rq8wb                        Successfully assigned or-sim/transition-executor-64d9d48cd9-rq8wb to or-sim-control-plane
6m22s       Normal   SuccessfulCreate    replicaset/planner-controller-57f668c5f4                        Created pod: planner-controller-57f668c5f4-vxrrl
6m22s       Normal   ScalingReplicaSet   deployment/cluster-state-manager                                Scaled up replica set cluster-state-manager-77c8547787 from 0 to 1
6m22s       Normal   ScalingReplicaSet   deployment/transition-executor                                  Scaled up replica set transition-executor-64d9d48cd9 from 0 to 1
6m22s       Normal   Started             pod/cluster-state-manager-77c8547787-8c5c8                      Started container controller
6m22s       Normal   Started             pod/transition-executor-64d9d48cd9-rq8wb                        Started container controller
6m22s       Normal   Created             pod/transition-executor-64d9d48cd9-rq8wb                        Created container: controller
6m22s       Normal   Pulled              pod/transition-executor-64d9d48cd9-rq8wb                        Successfully pulled image "localhost:10690/migrant-control-plane:go" in 268ms (268ms including waiting). Image size: 21945288 bytes.
6m22s       Normal   Scheduled           pod/cluster-state-manager-77c8547787-8c5c8                      Successfully assigned or-sim/cluster-state-manager-77c8547787-8c5c8 to or-sim-control-plane
6m22s       Normal   Pulling             pod/transition-executor-64d9d48cd9-rq8wb                        Pulling image "localhost:10690/migrant-control-plane:go"
6m22s       Normal   Started             pod/planner-controller-57f668c5f4-vxrrl                         Started container controller
6m22s       Normal   SuccessfulCreate    replicaset/cluster-state-manager-77c8547787                     Created pod: cluster-state-manager-77c8547787-8c5c8
6m22s       Normal   ScalingReplicaSet   deployment/planner-controller                                   Scaled up replica set planner-controller-57f668c5f4 from 0 to 1
6m22s       Normal   Created             pod/cluster-state-manager-77c8547787-8c5c8                      Created container: controller
6m22s       Normal   Pulling             pod/cluster-state-manager-77c8547787-8c5c8                      Pulling image "localhost:10690/migrant-control-plane:go"
6m22s       Normal   Pulled              pod/cluster-state-manager-77c8547787-8c5c8                      Successfully pulled image "localhost:10690/migrant-control-plane:go" in 258ms (258ms including waiting). Image size: 21945288 bytes.
6m22s       Normal   Created             pod/planner-controller-57f668c5f4-vxrrl                         Created container: controller
6m22s       Normal   Pulled              pod/planner-controller-57f668c5f4-vxrrl                         Successfully pulled image "localhost:10690/migrant-control-plane:go" in 270ms (270ms including waiting). Image size: 21945288 bytes.
6m22s       Normal   Pulling             pod/planner-controller-57f668c5f4-vxrrl                         Pulling image "localhost:10690/migrant-control-plane:go"
6m22s       Normal   Scheduled           pod/planner-controller-57f668c5f4-vxrrl                         Successfully assigned or-sim/planner-controller-57f668c5f4-vxrrl to or-sim-control-plane
6m21s       Normal   ScalingReplicaSet   deployment/planner-controller                                   Scaled down replica set planner-controller-84748c7899 from 1 to 0
