LAST SEEN   TYPE      REASON              OBJECT                                                          MESSAGE
3m34s       Normal    SuccessfulDelete    replicaset/transition-executor-86dfcd96f6                       Deleted pod: transition-executor-86dfcd96f6-9blz6
3m34s       Normal    Killing             pod/transition-executor-86dfcd96f6-9blz6                        Stopping container controller
3m34s       Normal    ScalingReplicaSet   deployment/transition-executor                                  Scaled down replica set transition-executor-86dfcd96f6 from 1 to 0
3m19s       Warning   Unhealthy           pod/gpt2-runtime-7d7dc5dc48-wvtx8                               Readiness probe failed: Get "http://115.145.135.205:10682/healthz": dial tcp 115.145.135.205:10682: connect: connection refused
3m19s       Normal    Killing             pod/llama-runtime-c768cf9dc-gg54p                               Stopping container runtime
3m19s       Normal    Killing             pod/gpt2-runtime-7d7dc5dc48-wvtx8                               Stopping container runtime
93s         Normal    Created             pod/llama-runtime-c768cf9dc-6cqkf                               Created container: runtime
93s         Normal    ScalingReplicaSet   deployment/gpt2-runtime                                         Scaled up replica set gpt2-runtime-7d7dc5dc48 from 0 to 1
93s         Normal    SuccessfulCreate    replicaset/gpt2-runtime-7d7dc5dc48                              Created pod: gpt2-runtime-7d7dc5dc48-vg2bp
93s         Normal    Scheduled           pod/llama-runtime-c768cf9dc-6cqkf                               Successfully assigned or-sim/llama-runtime-c768cf9dc-6cqkf to ampere
93s         Normal    Pulled              pod/llama-runtime-c768cf9dc-6cqkf                               Container image "localhost:10690/migrant-model-runtime:go" already present on machine
93s         Normal    Started             pod/llama-runtime-c768cf9dc-6cqkf                               Started container runtime
93s         Normal    Started             pod/gpt2-runtime-7d7dc5dc48-vg2bp                               Started container runtime
93s         Normal    Scheduled           pod/gpt2-runtime-7d7dc5dc48-vg2bp                               Successfully assigned or-sim/gpt2-runtime-7d7dc5dc48-vg2bp to ampere
93s         Normal    Created             pod/gpt2-runtime-7d7dc5dc48-vg2bp                               Created container: runtime
93s         Normal    Pulled              pod/gpt2-runtime-7d7dc5dc48-vg2bp                               Container image "localhost:10690/migrant-model-runtime:go" already present on machine
93s         Normal    SuccessfulCreate    replicaset/llama-runtime-c768cf9dc                              Created pod: llama-runtime-c768cf9dc-6cqkf
93s         Normal    ScalingReplicaSet   deployment/llama-runtime                                        Scaled up replica set llama-runtime-c768cf9dc from 0 to 1
